POUG;TRE;ID;ZUB;VOL;UIO;VBNM;Type;OIN
20;15;59;f;t;wwww;t;y;47.67
0;0.835;60;f;t;wwww;f;y;23.25
0;2.585;61;f;t;wwww;f;y;22.67
11;14.415;62;t;t;wwww;t;y;54.58
0;7.415;63;t;t;wwww;f;y;34.25
3;2;64;t;t;wwww;t;y;27.58
0;0;65;f;t;uuuu;f;y;46
4;4;66;f;t;uuuu;t;y;60.92
2;13.875;67;t;t;uuuu;t;y;47.42
12;4.25;68;t;t;wwww;t;y;37.33
0;2.5;69;t;f;uuuu;f;n;33.25
0;1.75;70;f;t;uuuu;f;n;24.58
0;0.085;71;t;f;wwww;f;n;21.83
0;1;72;f;f;wwww;f;n;15.17
0;0.165;73;f;f;wwww;f;n;22.92
0;0;74;f;f;uuuu;f;n;69.5
0;7;75;t;f;wwww;f;n;33
1;0;76;f;f;uuuu;t;n;23
1;0.29;77;f;f;wwww;t;n;22
0;1;78;t;f;wwww;f;n;24.75
0;0.29;79;f;f;wwww;f;n;20.75
0;0.5;80;t;t;wwww;f;n;23
0;2;81;t;f;wwww;f;n;20.67
0;0;82;t;t;wwww;f;n;48.75
0;1.5;83;f;f;wwww;f;n;51.83
0;0.415;84;f;f;wwww;f;n;22.75
0;0;85;f;f;uuuu;f;n;17.92
0;0;86;t;f;;f;n;42.25
0;0.25;87;t;f;uuuu;f;n;27.67
0;1.5;88;t;t;wwww;f;n;28.75
7;11.5;89;t;t;wwww;t;n;37.75
0;0.5;90;f;t;wwww;f;n;28.75
0;4.5;91;f;f;wwww;f;n;23.5
0;1;92;f;f;uuuu;f;n;29.5
2;3.04;93;t;f;uuuu;t;n;31.92
1;0.165;94;f;f;wwww;t;n;18.83
0;2.5;95;f;f;wwww;f;n;26.75
1;0;96;f;f;uuuu;t;n;27.17
0;5.5;97;f;f;wwww;f;n;47.17
2;0.04;98;f;f;wwww;t;n;23.75
0;0.21;99;f;t;wwww;f;n;41.58
0;0;100;t;f;wwww;f;n;26.33
0;0.165;101;f;f;wwww;f;n;39.42
0;3.75;102;t;t;wwww;f;n;35.25
0;0;103;t;f;wwww;f;n;18.83
0;1.625;104;f;f;wwww;f;n;44.83
0;0;105;f;f;wwww;f;n;50.75
0;1;106;t;f;wwww;f;n;19.17
0;0.5;107;t;t;wwww;f;n;21.5
0;0;108;f;f;uuuu;f;y;25.58
1;1.585;109;f;t;uuuu;t;y;20.42
3;7.375;110;t;t;uuuu;t;y;44.17
9;5.375;111;t;t;wwww;t;y;34.75
0;2.5;112;f;t;wwww;f;y;20.5
0;2.25;113;t;f;wwww;f;y;22.67
0;2.165;114;t;f;wwww;f;y;22.08
0;4.58;115;f;t;wwww;f;y;42.83
4;1;116;t;t;uuuu;t;y;18.92
3;0.165;117;f;t;uuuu;t;y;20.67
0;0.04;118;f;t;uuuu;f;y;32.33
11;5.335;119;f;t;wwww;t;y;28.92
14;5.5;120;f;t;uuuu;t;y;52.83
5;2.085;121;f;t;uuuu;t;y;20.67
6;2.5;122;f;t;wwww;t;y;36.25
4;1;123;f;t;uuuu;t;y;20.33
0;0.25;124;f;t;wwww;f;y;25.75
4;0.585;125;f;t;uuuu;t;y;28.17
0;0.165;126;f;f;wwww;f;y;23.92
0;8;127;t;t;wwww;f;y;56
2;0.71;128;t;t;uuuu;t;y;20.75
7;4;129;t;t;uuuu;t;y;30.5
7;5;130;t;t;uuuu;t;y;45.83
10;3.5;131;t;t;wwww;t;y;39
0;0.665;132;f;t;wwww;f;y;22.08
2;4.75;133;f;t;wwww;t;y;28.25
0;3;134;f;t;uuuu;f;y;18.83
5;2.5;135;t;t;uuuu;t;y;28.67
0;2.46;136;f;f;uuuu;f;y;22.5
0;6.5;137;f;t;wwww;f;y;
0;0;138;f;f;wwww;f;n;36.08
0;0.5;139;f;f;;f;n;40.83
0;0.125;140;f;f;wwww;f;n;20
1;0.21;141;f;t;wwww;t;n;43.25
0;9.46;142;t;t;wwww;f;n;52.33
2;0.585;143;t;f;wwww;t;n;19.33
6;2.625;144;t;t;wwww;t;n;23.58
1;4;145;f;f;wwww;t;n;69.17
0;0;146;f;t;uuuu;f;n;24.92
0;0.125;147;f;f;uuuu;f;n;23.58
0;0.5;148;f;f;wwww;f;n;20
0;1.25;149;f;f;uuuu;f;n;32
0;3;150;f;f;wwww;f;n;27.83
0;0.25;151;f;f;wwww;f;n;29.83
0;1.5;152;t;f;wwww;f;n;25.67
5;0;153;f;f;wwww;t;n;31.25
0;0.085;154;t;f;wwww;f;n;23.08
0;0.085;155;f;f;wwww;f;n;31
0;0;156;f;f;wwww;f;n;22.17
0;0.085;157;t;f;wwww;f;n;
0;2.5;158;t;t;wwww;f;n;45.17
0;0;159;f;f;wwww;f;n;24.58
0;1.165;160;f;f;wwww;f;n;33.67
0;0;161;f;f;wwww;f;n;40.58
0;0.415;162;t;f;wwww;f;n;16.33
2;0.125;163;f;f;wwww;t;n;35.75
2;0;164;t;f;uuuu;t;n;
1;0;165;f;t;wwww;t;n;49.58
0;5.5;166;t;f;uuuu;f;n;30.25
0;1.165;167;f;f;wwww;f;n;34.67
0;0.5;168;t;f;uuuu;f;n;50.25
0;7;169;f;f;wwww;f;n;
1;6.5;170;f;f;uuuu;t;n;57.58
0;1;171;t;f;uuuu;f;n;24.83
0;0.085;172;f;f;wwww;f;n;22.25
0;1.25;173;f;f;wwww;f;n;21.08
0;0;174;f;f;uuuu;f;n;52.17
0;3;175;t;f;uuuu;f;n;23.58
0;0.25;176;f;t;wwww;f;n;21.5
1;2.54;177;f;t;uuuu;t;y;28.5
0;1.5;178;f;t;wwww;f;y;19.17
3;2.5;179;f;t;uuuu;t;y;21.5
0;0;180;t;f;wwww;f;y;17.5
1;5.25;181;f;t;wwww;t;y;26.67
2;3.25;182;f;t;wwww;t;y;34.42
0;0;183;t;t;wwww;f;y;73.42
2;0.5;184;t;t;uuuu;t;y;23
11;1.085;185;t;t;wwww;t;y;23.08
7;1.46;186;f;t;wwww;t;y;19.42
0;0.835;187;t;t;wwww;f;y;23.33
0;12.75;188;t;t;wwww;f;y;42.17
0;1.5;189;f;f;wwww;f;y;21.25
0;0.085;190;t;f;wwww;f;y;34.17
6;7.875;191;t;t;uuuu;t;y;47.75
0;2.5;192;f;t;uuuu;f;y;44.33
16;6.5;193;f;t;wwww;t;y;39.5
3;0.5;194;t;t;uuuu;t;y;41.17
0;4.335;195;f;t;wwww;f;y;29.92
0;0;196;f;f;wwww;f;y;23.17
7;4.5;197;f;t;wwww;t;y;35.17
7;0.75;198;f;t;uuuu;t;y;19.17
15;6.29;199;f;t;wwww;t;y;52.5
1;0.04;200;f;t;wwww;t;y;39.92
0;3;201;t;t;wwww;f;y;21.33
4;0.75;202;f;t;uuuu;t;y;35.75
1;13;203;t;t;wwww;t;y;67.75
0;5.25;204;t;t;wwww;f;y;32.67
15;7.585;205;t;t;wwww;t;y;49.5
8;1.085;206;t;t;wwww;t;y;21
0;3;207;f;f;uuuu;f;n;52.5
0;2;208;f;f;uuuu;f;n;33.25
0;0;209;f;f;wwww;f;n;18.33
1;0.29;210;f;f;wwww;t;n;29.5
0;0.125;211;f;f;wwww;f;n;22.17
0;0.085;212;f;f;wwww;f;n;22.92
1;0.04;213;f;f;wwww;t;n;19.42
0;1.25;214;t;f;wwww;f;n;26.17
2;5.085;215;t;f;wwww;t;n;27.58
1;0.085;216;f;f;wwww;t;n;16
1;0.25;217;t;f;uuuu;t;n;28.58
0;0;218;f;f;uuuu;f;n;38.75
0;1.5;219;t;f;wwww;f;n;32.08
0;0.25;220;t;f;wwww;f;n;18.25
0;0;221;f;f;uuuu;f;n;21.75
0;0.54;222;f;f;wwww;f;n;18.58
0;0.5;223;t;f;wwww;f;n;23
2;2;224;t;f;uuuu;t;n;22.67
0;3.5;225;t;f;;f;n;33.17
0;0.125;226;f;t;wwww;f;n;23
0;0.125;227;t;f;wwww;f;n;22.25
0;0.04;228;f;f;;f;n;28.17
0;0;229;t;f;uuuu;f;n;53.33
0;0;230;f;f;uuuu;f;n;24.5
2;0.375;231;t;f;wwww;t;n;25.92
1;0.665;232;f;f;wwww;t;n;16.33
0;1;233;t;t;wwww;f;n;34
0;0.29;234;f;f;wwww;f;n;49.17
0;0.875;235;t;f;uuuu;f;n;23.5
0;1.665;236;f;f;uuuu;f;n;19.58
0;0.5;237;t;f;wwww;f;n;21.17
0;0.125;238;f;f;uuuu;f;n;38.33
0;0.04;239;f;f;wwww;f;n;37.5
0;0;240;f;f;uuuu;f;n;21.08
0;0.75;241;t;f;wwww;f;n;28
1;1.25;242;f;f;wwww;t;n;25.17
2;1.75;243;t;f;wwww;t;n;32.92
0;0.165;244;f;f;uuuu;f;n;22.75
3;0.96;245;t;t;wwww;t;y;28.25
1;1.54;246;t;t;wwww;t;y;34.17
3;6.04;247;f;t;wwww;t;y;31.92
4;0.54;248;f;t;uuuu;t;y;29.5
0;0.085;249;f;t;wwww;f;y;23.17
0;10;250;t;f;uuuu;f;y;18.08
19;1.835;251;f;t;uuuu;t;y;24.75
0;0.04;252;f;t;uuuu;f;y;20.83
2;4.165;253;t;t;wwww;t;y;28
1;2.25;254;f;t;wwww;t;y;20.42
6;5.665;255;f;t;wwww;t;y;28.67
1;0.04;256;t;t;wwww;t;y;21.92
11;6;257;f;t;wwww;t;y;43.25
3;1.625;258;f;t;wwww;t;y;20.42
0;5.125;259;f;t;wwww;f;y;42
2;1.5;260;t;t;uuuu;t;y;23.42
0;0.875;261;f;t;uuuu;f;y;25.17
6;2.25;262;f;t;wwww;t;y;24.83
2;4.75;263;f;t;;t;y;24.5
0;1.5;264;t;f;wwww;f;y;37.5
0;1.5;265;t;f;wwww;f;y;36.75
8;1.5;266;t;t;wwww;t;y;28.25
3;5.5;267;t;t;wwww;t;y;32.75
11;1;268;f;t;uuuu;t;y;17.83
7;2.29;269;t;t;uuuu;t;y;22.83
2;1.75;270;t;t;wwww;t;y;13.75
23;0.125;271;t;t;uuuu;t;y;41
11;2.125;272;t;t;wwww;t;y;23.08
0;1.71;273;f;t;wwww;f;y;20.17
3;2.29;274;t;t;uuuu;t;y;50.08
3;4.25;275;t;t;wwww;t;y;27
0;0.25;276;t;f;;f;n;29.75
0;0.5;277;f;f;wwww;f;n;25.25
0;10;278;t;f;wwww;f;n;39.17
0;0.125;279;f;f;wwww;f;n;20.08
0;10.75;280;f;t;wwww;f;n;44.25
0;2;281;f;t;uuuu;f;n;27.67
0;0.5;282;t;f;wwww;f;n;26.92
0;0;283;f;f;uuuu;f;n;27.33
0;0.085;284;f;t;wwww;f;n;16.25
0;1.5;285;f;f;wwww;f;n;33.67
0;3;286;t;t;uuuu;f;n;22.5
0;0.165;287;t;f;wwww;f;n;37.33
0;0.5;288;f;f;wwww;f;n;29.25
0;8.29;289;t;f;wwww;f;n;35
0;0.165;290;f;f;uuuu;f;n;22.67
0;0.5;291;f;f;wwww;f;n;34.75
1;0.375;292;f;t;wwww;t;n;20.67
0;1.585;293;t;f;wwww;f;n;22.08
0;0.04;294;f;f;uuuu;f;n;20.75
0;10;295;t;t;wwww;f;n;40.92
0;0.085;296;f;t;wwww;f;n;23.42
0;2.415;297;t;t;uuuu;f;n;28.58
1;0.125;298;t;f;uuuu;t;n;15.83
0;0.415;299;f;f;uuuu;f;n;18.58
10;0;300;f;f;uuuu;t;n;36.58
0;0.125;301;t;f;;f;n;45.33
0;0.04;302;f;f;wwww;f;n;29.83
0;0.165;303;f;f;wwww;f;n;29.83
0;3.5;304;f;f;wwww;f;n;36.5
0;3.25;305;f;f;uuuu;f;n;22.25
0;0.125;306;f;f;wwww;f;n;22.5
0;0.165;307;t;f;wwww;f;n;27.67
0;0;308;f;t;wwww;f;n;40.92
0;5;309;f;t;wwww;f;n;62.5
0;1.25;310;t;f;uuuu;f;n;29.58
0;0.415;311;f;f;wwww;f;n;18.58
2;0;312;f;f;wwww;t;n;39.58
0;0.875;313;t;t;wwww;f;n;24.58
6;2.5;314;f;t;wwww;t;y;38.17
0;0.375;315;t;t;wwww;f;y;27
8;7;316;f;t;wwww;t;y;41.17
11;0;317;t;t;uuuu;t;y;65.17
0;0;318;f;f;wwww;f;y;37.58
3;2.375;319;t;t;wwww;t;y;23.25
6;0.29;320;f;t;wwww;t;y;21.83
0;1.75;321;t;t;wwww;f;y;26
8;1.335;322;t;t;wwww;t;y;31.67
0;8.5;323;t;t;uuuu;f;y;49.83
6;6.5;324;f;t;uuuu;t;y;47.42
11;0;325;f;t;wwww;t;y;51.33
2;0.75;326;f;t;uuuu;t;y;18.92
0;0.835;327;f;t;uuuu;f;y;28.42
4;1.25;328;t;t;wwww;t;y;56.75
13;10;329;f;t;uuuu;t;y;58.42
0;16;330;f;t;wwww;f;y;48.33
7;0.75;331;t;t;wwww;t;y;33.17
7;2.585;332;f;t;uuuu;t;y;22.42
0;0.085;333;f;t;uuuu;f;y;18.83
11;0.25;334;f;t;wwww;t;y;48.58
0;1.25;335;f;t;wwww;f;y;26.75
9;17.5;336;t;t;wwww;t;y;64.08
3;1.665;337;t;t;wwww;t;y;20.17
67;1.21;338;t;t;wwww;t;y;25.67
0;1.335;339;f;t;wwww;f;y;22.67
16;7;340;f;t;wwww;t;y;31.33
40;28.5;341;f;t;wwww;t;y;56.42
12;1.5;342;t;t;uuuu;t;y;24.75
1;1.25;343;f;t;uuuu;t;y;24.08
0;11;344;t;t;wwww;f;y;28.33
0;0.04;345;t;f;uuuu;f;n;19.5
0;0.125;346;t;t;wwww;f;n;34.08
0;3.75;347;t;f;wwww;f;n;52.42
0;0.25;348;t;t;wwww;f;n;37.5
0;0.75;349;t;f;wwww;f;n;21.42
0;1;350;f;f;uuuu;f;n;20.83
0;0.04;351;f;f;wwww;f;n;31.83
1;13.875;352;t;f;wwww;t;n;42.83
2;0;353;f;f;wwww;t;n;32.25
0;0.5;354;t;f;wwww;f;n;40.92
1;2;355;t;f;uuuu;t;n;25.25
0;0.085;356;t;f;wwww;f;n;23.58
2;0.375;357;f;f;wwww;t;n;38.42
1;0.415;358;t;f;uuuu;t;n;23.58
0;0.5;359;f;f;wwww;f;n;20
0;0;360;f;f;uuuu;f;n;20.08
4;0.085;361;f;f;wwww;t;n;24.08
0;0.25;362;f;f;wwww;f;n;
2;0.165;363;f;f;wwww;t;n;24.42
11;1;364;f;f;wwww;t;n;23.08
4;0;365;f;f;wwww;t;n;19
0;1;366;f;f;wwww;f;n;34.08
10;0.5;367;t;t;wwww;t;n;30.08
2;5.75;368;t;t;wwww;t;n;27.83
0;1;369;t;f;wwww;f;n;47.33
3;1.375;370;t;t;wwww;t;n;20.67
2;1.29;371;f;t;uuuu;t;n;25.42
0;0.125;372;f;f;wwww;f;n;28.67
0;0.665;373;f;f;uuuu;f;n;41.58
0;0.165;374;f;f;uuuu;f;n;20.83
0;1;375;f;t;wwww;f;n;42.75
0;4;376;t;f;wwww;f;n;33.58
0;1.5;377;f;f;wwww;f;n;20.42
0;1.5;378;t;f;wwww;f;n;22.5
0;0.5;379;t;f;wwww;f;n;38.92
0;0;380;f;f;wwww;f;n;26.83
0;0.04;381;f;f;wwww;f;n;17.92
1;0.165;382;f;f;wwww;t;n;25.42
2;5;383;f;t;uuuu;t;y;26.92
0;5.75;384;t;t;wwww;f;y;27.67
0;0.085;385;t;t;wwww;f;y;38.67
16;1.085;386;f;t;uuuu;t;y;32.17
12;5.5;387;t;t;wwww;t;y;32.67
9;12.5;388;f;t;wwww;t;y;48.75
1;2.25;389;t;t;wwww;t;y;21
12;15.5;390;f;t;wwww;t;y;48.17
14;10;391;t;t;wwww;t;y;39.33
0;0.25;392;t;t;uuuu;f;y;25.08
0;0.25;393;t;t;wwww;f;y;23.25
1;2;394;f;t;uuuu;t;y;30.67
0;0;395;t;f;wwww;f;y;19.17
1;1;396;f;f;;t;y;20.08
0;9;397;t;t;wwww;f;y;36.67
1;0.46;398;f;t;wwww;t;y;23.17
2;1.5;399;f;t;uuuu;t;y;15.83
5;1.75;400;t;t;wwww;t;y;16.08
9;5.165;401;t;t;uuuu;t;y;47
0;0;402;f;f;uuuu;f;y;71.58
4;0.5;403;f;t;uuuu;t;y;21.25
7;20;404;t;t;wwww;t;y;65.42
11;2;405;t;t;wwww;t;y;20.5
5;5;406;f;t;wwww;t;y;55.92
0;0;407;t;t;wwww;f;y;34.92
17;15;408;t;t;wwww;t;y;56.58
3;1;409;f;t;wwww;t;y;25.17
1;1.665;410;t;t;wwww;t;y;25.08
6;14;411;t;t;wwww;t;y;57.83
6;7.5;412;t;t;wwww;t;y;34.92
6;4.25;413;f;t;wwww;t;y;33.58
6;0;414;f;f;uuuu;t;n;35.17
0;0.165;415;t;f;wwww;f;n;32.42
0;0.25;416;t;t;wwww;f;n;34.25
0;0;417;f;f;uuuu;f;n;17.67
0;0.125;418;f;f;wwww;f;n;21.92
0;0;419;f;f;uuuu;f;n;
0;0.29;420;f;f;wwww;f;n;19.5
0;2;421;f;f;;f;n;29.5
0;0.25;422;f;f;wwww;f;n;41.17
0;0.21;423;f;f;uuuu;f;n;37.33
0;0.04;424;f;f;wwww;f;n;18.08
0;1.25;425;t;f;wwww;f;n;32.33
1;0.25;426;t;f;uuuu;t;n;23.75
1;0.415;427;t;f;wwww;t;n;23.5
0;0.25;428;f;f;wwww;f;n;21.17
0;0.085;429;f;f;wwww;f;n;36.17
1;0.125;430;t;f;uuuu;t;n;27.25
2;0.375;431;f;t;wwww;t;n;18.67
0;0.165;432;t;f;wwww;f;n;22
0;0.585;433;t;f;wwww;f;n;30.75
0;0.125;434;t;f;wwww;f;n;30.58
0;2.25;435;t;f;wwww;f;n;43.17
3;3.5;436;t;t;wwww;t;n;29.17
0;0.835;437;t;t;wwww;f;n;19.67
0;0;438;f;f;uuuu;f;n;36.75
2;0.25;439;t;f;wwww;t;n;29.42
0;0.04;440;f;f;wwww;f;n;42.75
0;0.5;441;f;f;wwww;f;n;25.83
0;2.085;442;f;f;wwww;f;n;23.75
0;0;443;t;f;uuuu;f;n;26.58
0;0.125;444;f;f;wwww;f;n;20.67
0;0.085;445;t;f;wwww;f;n;30.33
0;0.04;446;f;f;wwww;f;n;21.08
0;0.335;447;t;f;wwww;f;n;17.08
0;0.125;448;f;f;wwww;f;n;26.25
0;0.04;449;f;f;wwww;f;n;30.17
0;1;450;t;t;uuuu;f;n;57.08
0;0.21;451;f;f;wwww;f;n;39.92
0;0.04;452;f;t;uuuu;f;y;22.92
0;1.5;453;f;t;uuuu;f;y;24.5
0;0;454;f;t;wwww;f;y;20.25
2;1.5;455;f;t;wwww;t;y;18.5
7;0.625;456;f;t;wwww;t;y;25.17
0;5;457;t;t;wwww;f;y;44.33
0;0.5;458;f;t;wwww;f;y;18.08
0;11;459;t;t;uuuu;f;y;60.58
0;3.5;460;f;f;wwww;f;y;41.5
0;0.875;461;t;t;uuuu;f;y;25.75
5;5.04;462;t;t;wwww;t;y;29.25
11;2;463;f;t;uuuu;t;y;36
9;3;464;f;t;wwww;t;y;31.67
15;18;465;t;t;wwww;t;y;60.08
1;2;466;f;t;wwww;t;y;22.33
1;3.5;467;f;t;wwww;t;y;40
1;1.625;468;t;t;wwww;t;y;35.17
0;15;469;f;t;wwww;f;y;41.33
1;0.335;470;t;t;uuuu;t;y;20.75
0;2.5;471;t;t;wwww;f;y;32.08
3;5;472;t;t;wwww;t;y;
6;1.875;473;f;t;wwww;t;y;23.92
10;3.17;474;f;t;uuuu;t;y;23.25
11;0.415;475;t;t;uuuu;t;y;46.67
6;3.5;476;f;t;uuuu;t;y;25
3;0.25;477;f;t;wwww;t;y;25.5
5;2.71;478;f;t;uuuu;t;y;18.75
5;8.5;479;t;t;uuuu;t;y;23.5
12;4.5;480;t;t;wwww;t;y;34.17
5;3.75;481;t;t;wwww;t;y;27.83
0;5;482;t;t;uuuu;f;y;36.75
0;2;483;t;f;wwww;f;n;20
0;0.75;484;f;f;uuuu;f;n;22.67
0;0.54;485;f;t;wwww;f;n;80.25
0;3;486;f;f;wwww;f;n;34.83
3;6.75;487;t;t;uuuu;t;n;55.75
2;3.335;488;t;f;wwww;t;n;22.17
0;0;489;f;f;wwww;f;n;62.75
1;2.75;490;f;t;uuuu;t;y;47.25
0;0.375;491;f;f;uuuu;f;y;33.67
1;14;492;t;t;wwww;t;y;45
0;6.5;493;t;t;wwww;f;y;33.17
0;1.04;494;t;t;uuuu;f;y;25
5;1;495;t;t;wwww;t;y;26.67
0;0.125;496;t;t;wwww;f;y;48.5
0;0.04;497;t;t;wwww;f;y;37.42
0;0.21;498;f;f;wwww;f;y;18
15;0;499;f;t;uuuu;t;y;56.5
5;1.46;500;t;t;wwww;t;y;25.75
5;0.415;501;t;t;uuuu;t;y;22.58
1;2.04;502;t;t;wwww;t;y;33.17
0;0.04;503;t;t;wwww;f;y;32
0;1.75;504;f;t;uuuu;f;y;40.83
0;0.125;505;t;t;wwww;f;y;59.67
0;3.165;506;t;t;wwww;f;y;42.5
0;0;507;f;t;uuuu;f;y;28.08
0;0.125;508;t;t;uuuu;f;y;37.75
5;8.665;509;f;t;wwww;t;y;53.92
20;15;510;f;t;wwww;t;y;47.67
0;0.835;511;f;t;wwww;f;y;23.25
0;2.585;512;f;t;wwww;f;y;22.67
11;14.415;513;t;t;wwww;t;y;54.58
0;7.415;514;t;t;wwww;f;y;34.25
3;2;515;t;t;wwww;t;y;27.58
0;0;516;f;t;uuuu;f;y;46
4;4;517;f;t;uuuu;t;y;60.92
2;13.875;518;t;t;uuuu;t;y;47.42
12;4.25;519;t;t;wwww;t;y;37.33
0;0;520;f;f;uuuu;f;y;25.58
1;1.585;521;f;t;uuuu;t;y;20.42
3;7.375;522;t;t;uuuu;t;y;44.17
9;5.375;523;t;t;wwww;t;y;34.75
0;2.5;524;f;t;wwww;f;y;20.5
0;2.25;525;t;f;wwww;f;y;22.67
0;2.165;526;t;f;wwww;f;y;22.08
0;4.58;527;f;t;wwww;f;y;42.83
4;1;528;t;t;uuuu;t;y;18.92
3;0.165;529;f;t;uuuu;t;y;20.67
0;0.04;530;f;t;uuuu;f;y;32.33
11;5.335;531;f;t;wwww;t;y;28.92
14;5.5;532;f;t;uuuu;t;y;52.83
5;2.085;533;f;t;uuuu;t;y;20.67
6;2.5;534;f;t;wwww;t;y;36.25
4;1;535;f;t;uuuu;t;y;20.33
0;0.25;536;f;t;wwww;f;y;25.75
4;0.585;537;f;t;uuuu;t;y;28.17
0;0.165;538;f;f;wwww;f;y;23.92
0;8;539;t;t;wwww;f;y;56
2;0.71;540;t;t;uuuu;t;y;20.75
7;4;541;t;t;uuuu;t;y;30.5
7;5;542;t;t;uuuu;t;y;45.83
10;3.5;543;t;t;wwww;t;y;39
0;0.665;544;f;t;wwww;f;y;22.08
2;4.75;545;f;t;wwww;t;y;28.25
0;3;546;f;t;uuuu;f;y;18.83
5;2.5;547;t;t;uuuu;t;y;28.67
0;2.46;548;f;f;uuuu;f;y;22.5
0;6.5;549;f;t;wwww;f;y;
1;2.54;550;f;t;uuuu;t;y;28.5
0;1.5;551;f;t;wwww;f;y;19.17
3;2.5;552;f;t;uuuu;t;y;21.5
0;0;553;t;f;wwww;f;y;17.5
1;5.25;554;f;t;wwww;t;y;26.67
2;3.25;555;f;t;wwww;t;y;34.42
0;0;556;t;t;wwww;f;y;73.42
2;0.5;557;t;t;uuuu;t;y;23
11;1.085;558;t;t;wwww;t;y;23.08
7;1.46;559;f;t;wwww;t;y;19.42
0;0.835;560;t;t;wwww;f;y;23.33
0;12.75;561;t;t;wwww;f;y;42.17
0;1.5;562;f;f;wwww;f;y;21.25
0;0.085;563;t;f;wwww;f;y;34.17
6;7.875;564;t;t;uuuu;t;y;47.75
0;2.5;565;f;t;uuuu;f;y;44.33
16;6.5;566;f;t;wwww;t;y;39.5
3;0.5;567;t;t;uuuu;t;y;41.17
0;4.335;568;f;t;wwww;f;y;29.92
0;0;569;f;f;wwww;f;y;23.17
7;4.5;570;f;t;wwww;t;y;35.17
7;0.75;571;f;t;uuuu;t;y;19.17
15;6.29;572;f;t;wwww;t;y;52.5
1;0.04;573;f;t;wwww;t;y;39.92
0;3;574;t;t;wwww;f;y;21.33
4;0.75;575;f;t;uuuu;t;y;35.75
1;13;576;t;t;wwww;t;y;67.75
0;5.25;577;t;t;wwww;f;y;32.67
15;7.585;578;t;t;wwww;t;y;49.5
8;1.085;579;t;t;wwww;t;y;21
3;0.96;580;t;t;wwww;t;y;28.25
1;1.54;581;t;t;wwww;t;y;34.17
3;6.04;582;f;t;wwww;t;y;31.92
4;0.54;583;f;t;uuuu;t;y;29.5
0;0.085;584;f;t;wwww;f;y;23.17
0;10;585;t;f;uuuu;f;y;18.08
19;1.835;586;f;t;uuuu;t;y;24.75
0;0.04;587;f;t;uuuu;f;y;20.83
2;4.165;588;t;t;wwww;t;y;28
1;2.25;589;f;t;wwww;t;y;20.42
6;5.665;590;f;t;wwww;t;y;28.67
