ID;UKL;GJAH;ZIK;HUI;ERZ;CDx;BJZHD;NKJUD;LPI;BJKG
38;163;rrr;y;oooo;pppp;0.0;ee;0.0;0.0;qqqq
39;171;oooo;;oooo;www;892.0;sss;333.0;3330000.0;hhhh
40;154;oooo;;oooo;www;44.0;ee;300.0;3000000.0;qqqq
41;80;oooo;x;oooo;www;2000.0;ee;88.0;880000.0;hhhh
42;2;oooo;;oooo;www;31285.0;xxx;164.0;1640000.0;hhhh
43;176;oooo;y;oooo;www;5860.0;zzz;160.0;1600000.0;hhhh
44;17;rrr;;oooo;pppp;5777.0;vvvv;160.0;1600000.0;qqqq
45;46;oooo;;oooo;www;0.0;ooo;225.0;2250000.0;qqqq
46;19;oooo;;oooo;www;5800.0;yyy;400.0;4000000.0;qqqq
47;145;oooo;y;oooo;www;40.0;sss;200.0;2000000.0;ppp
48;129;oooo;x;oooo;www;247.0;lll;0.0;0.0;hh
49;164;oooo;x;oooo;www;0.0;vvvv;312.0;3120000.0;qqqq
50;99;oooo;;oooo;www;560.0;sss;0.0;0.0;qqqq
51;34;rrr;x;oooo;pppp;18027.0;vvvv;180.0;1800000.0;hhhh
52;17;rrr;;oooo;pppp;0.0;ggg;393.0;3930000.0;hhhh
53;91;oooo;;oooo;www;837.0;sss;29.0;290000.0;hhhh
54;13;oooo;y;oooo;www;0.0;sss;260.0;2600000.0;qqqq
55;54;rrr;;oooo;pppp;1442.0;yyy;52.0;520000.0;qqqq
56;127;rrr;;oooo;pppp;13212.0;ggg;0.0;0.0;bbb
57;60;oooo;y;oooo;www;0.0;sss;228.0;2280000.0;qqqq
58;88;oooo;;oooo;www;0.0;ggg;0.0;0.0;qqqq
59;151;oooo;x;oooo;www;15000.0;vvvv;0.0;0.0;yy
60;147;oooo;y;uuu;www;0.0;vvvv;300.0;3000000.0;qqqq
61;28;rrr;y;oooo;pppp;0.0;vvvv;0.0;0.0;hhhh
62;85;oooo;;oooo;www;300.0;hh;30.0;300000.0;hh
63;155;oooo;;oooo;www;0.0;ee;0.0;0.0;hhhh
64;19;rrr;;oooo;pppp;560.0;ee;370.0;3700000.0;qqqq
65;158;oooo;;oooo;www;960.0;lll;100.0;1000000.0;lll
66;163;oooo;x;oooo;www;99.0;ee;0.0;0.0;qqqq
67;155;oooo;;oooo;www;1704.0;zzz;519.0;5190000.0;qqqq
68;68;oooo;;oooo;www;0.0;ooo;93.0;930000.0;hhhh
69;27;rrr;y;oooo;pppp;2.0;vvvv;0.0;0.0;qqqq
70;167;oooo;;oooo;www;0.0;ee;400.0;4000000.0;hhhh
71;13;oooo;;oooo;www;0.0;mmm;356.0;3560000.0;qqqq
72;173;oooo;;oooo;www;0.0;ggg;600.0;6000000.0;qqqq
73;36;rrr;;oooo;pppp;1058.0;vvvv;160.0;1600000.0;qqqq
74;168;oooo;y;uuu;www;0.0;hh;0.0;0.0;hh
75;27;rrr;;oooo;pppp;0.0;yyy;280.0;2800000.0;qqqq
76;18;oooo;;oooo;www;53.0;lll;200.0;2000000.0;lll
77;172;oooo;;oooo;www;283.0;yyy;420.0;4200000.0;qqqq
78;160;oooo;;oooo;www;1.0;ooo;120.0;1200000.0;qqqq
79;56;rrr;;oooo;pppp;184.0;lll;140.0;1400000.0;qqqq
80;171;oooo;;uuu;www;0.0;ooo;320.0;3200000.0;qqqq
81;174;rrr;y;uuu;pppp;0.0;vvvv;240.0;2400000.0;qqqq
82;142;rrr;y;oooo;pppp;0.0;hh;0.0;0.0;hh
83;155;rrr;y;oooo;pppp;4.0;hh;180.0;1800000.0;hh
84;106;oooo;;oooo;www;0.0;kkk;0.0;0.0;qqqq
85;94;oooo;;oooo;www;50.0;hh;0.0;0.0;hh
86;17;rrr;y;oooo;pppp;1.0;;150.0;1500000.0;
87;19;oooo;y;oooo;www;50.0;yyy;180.0;1800000.0;qqqq
88;12;rrr;y;oooo;pppp;225.0;vvvv;0.0;0.0;qqqq
89;173;oooo;x;oooo;www;5.0;sss;300.0;3000000.0;hhhh
90;6;oooo;;uuu;www;0.0;mmm;280.0;2800000.0;qqqq
91;31;oooo;y;oooo;www;25.0;hh;160.0;1600000.0;hh
92;4;rrr;;oooo;pppp;13.0;zzz;280.0;2800000.0;qqqq
93;35;oooo;;oooo;www;4.0;hh;200.0;2000000.0;hh
94;156;rrr;x;oooo;pppp;1.0;vvvv;200.0;2000000.0;qqqq
95;49;rrr;y;oooo;pppp;1210.0;vvvv;200.0;2000000.0;yy
96;8;oooo;x;oooo;www;300.0;hh;92.0;920000.0;hh
97;64;oooo;y;oooo;www;150.0;yyy;465.0;4650000.0;qqqq
98;156;rrr;;oooo;pppp;6.0;vvvv;128.0;1280000.0;qqqq
99;17;oooo;;oooo;www;0.0;mmm;160.0;1600000.0;qqqq
100;118;oooo;y;oooo;www;1110.0;ggg;140.0;1400000.0;yy
101;16;rrr;;uuu;pppp;0.0;ooo;400.0;4000000.0;qqqq
102;36;oooo;y;oooo;www;0.0;zzz;680.0;6800000.0;hhhh
103;41;rrr;y;oooo;pppp;1.0;hh;180.0;1800000.0;hh
104;173;rrr;;oooo;pppp;2.0;vvvv;160.0;1600000.0;qqqq
105;161;oooo;y;oooo;www;0.0;hh;145.0;1450000.0;hh
106;158;rrr;y;oooo;pppp;1000.0;kkk;360.0;3600000.0;qqqq
107;106;oooo;y;oooo;www;68.0;kkk;100.0;1000000.0;qqqq
108;1;;;rrr;;0.0;;;;
109;174;oooo;x;oooo;www;0.0;sss;0.0;0.0;qqqq
110;69;oooo;x;oooo;www;0.0;sss;0.0;0.0;qqqq
111;127;oooo;;oooo;www;134.0;xxx;0.0;0.0;ppp
112;91;rrr;;uuu;pppp;0.0;vvvv;40.0;400000.0;qqqq
113;145;oooo;;uuu;www;0.0;vvvv;0.0;0.0;lll
114;175;oooo;;oooo;www;0.0;vvvv;128.0;1280000.0;hhhh
115;51;oooo;;uuu;www;0.0;sss;0.0;0.0;qqqq
116;83;rrr;x;oooo;pppp;500.0;vvvv;80.0;800000.0;qqqq
117;155;oooo;;oooo;www;6.0;sss;100.0;1000000.0;qqqq
118;160;oooo;y;oooo;www;11177.0;ee;440.0;4400000.0;qqqq
119;127;oooo;;oooo;www;2283.0;vvvv;0.0;0.0;hhhh
120;127;oooo;;oooo;www;2200.0;vvvv;0.0;0.0;qqqq
121;18;oooo;;oooo;www;2503.0;sss;220.0;2200000.0;qqqq
122;163;oooo;;oooo;www;367.0;vvvv;0.0;0.0;yy
123;91;oooo;;oooo;www;1465.0;vvvv;50.0;500000.0;hhhh
124;171;oooo;y;oooo;www;23.0;vvvv;349.0;3490000.0;yy
125;154;oooo;x;oooo;www;0.0;sss;80.0;800000.0;qqqq
126;166;oooo;;oooo;www;0.0;vvvv;100.0;1000000.0;qqqq
127;114;oooo;;oooo;www;2028.0;mmm;24.0;240000.0;hhhh
128;95;oooo;x;oooo;www;0.0;sss;49.0;490000.0;qqqq
129;68;oooo;x;oooo;www;3065.0;vvvv;0.0;0.0;yy
130;98;oooo;x;oooo;www;0.0;sss;0.0;0.0;qqqq
131;163;oooo;x;oooo;www;0.0;ee;0.0;0.0;qqqq
132;101;oooo;;oooo;www;0.0;ee;100.0;1000000.0;qqqq
133;57;oooo;;oooo;www;7.0;zzz;420.0;4200000.0;qqqq
134;47;rrr;y;oooo;pppp;0.0;vvvv;240.0;2400000.0;hhhh
135;2;oooo;;oooo;www;1430.0;vvvv;300.0;3000000.0;qqqq
136;79;rrr;y;oooo;pppp;0.0;zzz;164.0;1640000.0;qqqq
137;98;oooo;y;oooo;www;0.0;zzz;0.0;0.0;qqqq
138;28;oooo;;oooo;www;1000.0;hh;0.0;0.0;hh
139;40;oooo;y;uuu;www;0.0;kkk;1160.0;11600000.0;yy
140;8;rrr;;oooo;pppp;4.0;mmm;140.0;1400000.0;qqqq
141;141;oooo;;oooo;www;90.0;sss;760.0;7600000.0;hhhh
142;10;rrr;;oooo;pppp;100.0;vvvv;200.0;2000000.0;hhhh
143;100;oooo;;oooo;www;7.0;vvvv;200.0;2000000.0;yy
144;157;rrr;x;oooo;pppp;347.0;yyy;208.0;2080000.0;qqqq
145;179;oooo;;oooo;www;6.0;hh;70.0;700000.0;hh
146;8;oooo;y;oooo;www;0.0;hh;80.0;800000.0;hh
147;161;rrr;y;oooo;pppp;87.0;hh;120.0;1200000.0;hh
148;1;oooo;;oooo;www;0.0;yyy;144.0;1440000.0;qqqq
149;168;oooo;;oooo;www;0.0;yyy;272.0;2720000.0;qqqq
150;147;rrr;;oooo;pppp;537.0;yyy;176.0;1760000.0;hhhh
151;8;rrr;y;oooo;pppp;0.0;mmm;224.0;2240000.0;qqqq
152;151;rrr;y;oooo;pppp;0.0;vvvv;160.0;1600000.0;qqqq
153;32;oooo;;oooo;www;146.0;hh;176.0;1760000.0;hh
154;27;oooo;;oooo;www;4208.0;hh;100.0;1000000.0;hh
155;20;oooo;;oooo;www;0.0;vvvv;300.0;3000000.0;qqqq
156;161;rrr;;oooo;pppp;0.0;hh;100.0;1000000.0;hh
157;158;rrr;y;oooo;pppp;0.0;kkk;411.0;4110000.0;qqqq
158;12;oooo;;oooo;www;0.0;vvvv;140.0;1400000.0;qqqq
159;119;rrr;y;oooo;pppp;0.0;hh;;;hh
160;8;oooo;;oooo;www;0.0;yyy;120.0;1200000.0;qqqq
161;12;oooo;;uuu;www;0.0;kkk;300.0;3000000.0;yy
162;44;oooo;;oooo;www;0.0;kkk;120.0;1200000.0;hhhh
163;26;oooo;x;oooo;www;1.0;yyy;220.0;2200000.0;qqqq
164;12;oooo;;oooo;www;105.0;hh;200.0;2000000.0;hh
165;135;oooo;;oooo;www;0.0;hh;94.0;940000.0;hh
166;60;oooo;;uuu;www;0.0;mmm;100.0;1000000.0;qqqq
167;3;oooo;y;uuu;www;0.0;ooo;28.0;280000.0;qqqq
168;174;oooo;y;oooo;www;117.0;ee;240.0;2400000.0;qqqq
169;155;rrr;y;oooo;pppp;1.0;kkk;0.0;0.0;yy
170;152;oooo;x;oooo;www;10.0;hh;0.0;0.0;hh
171;49;oooo;y;oooo;www;6.0;yyy;360.0;3600000.0;qqqq
172;179;oooo;y;oooo;www;0.0;ee;0.0;0.0;qqqq
173;92;rrr;;oooo;pppp;0.0;ggg;260.0;2600000.0;hhhh
174;1;rrr;;oooo;pppp;0.0;hh;0.0;0.0;hh
175;106;rrr;y;oooo;pppp;16.0;mmm;20.0;200000.0;hhhh
176;89;oooo;;oooo;www;0.0;vvvv;140.0;1400000.0;qqqq
177;34;rrr;;oooo;pppp;0.0;zzz;70.0;700000.0;hhhh
178;86;oooo;;oooo;www;2206.0;yyy;120.0;1200000.0;qqqq
179;168;oooo;x;oooo;www;918.0;ee;80.0;800000.0;qqqq
180;139;ii;y;rrr;nnn;100000.0;hh;450.0;4500000.0;qqq
181;30;rrr;;oooo;pppp;0.0;ee;211.0;2110000.0;qqqq
182;46;oooo;x;oooo;www;610.0;kkk;274.0;2740000.0;yy
183;132;oooo;y;oooo;www;0.0;hh;0.0;0.0;hh
184;109;oooo;;oooo;www;551.0;zzz;300.0;3000000.0;hhhh
185;27;oooo;;oooo;www;2184.0;vvvv;60.0;600000.0;qqqq
186;68;oooo;x;oooo;www;2954.0;yyy;80.0;800000.0;hhhh
187;108;rrr;;oooo;pppp;300.0;yyy;160.0;1600000.0;qqqq
188;55;oooo;;oooo;www;0.0;sss;92.0;920000.0;hhhh
189;12;oooo;;oooo;www;8.0;yyy;150.0;1500000.0;qqqq
190;58;oooo;;oooo;www;6.0;yyy;290.0;2900000.0;qqqq
191;177;oooo;x;oooo;www;1260.0;vvvv;0.0;0.0;qqqq
192;1;oooo;;oooo;www;0.0;vvvv;0.0;0.0;qqqq
193;46;oooo;x;oooo;www;1210.0;vvvv;117.0;1170000.0;yy
194;68;oooo;;oooo;www;0.0;sss;145.0;1450000.0;qqqq
195;18;oooo;y;oooo;www;200.0;vvvv;260.0;2600000.0;hhhh
196;1;;y;rrr;;0.0;;;;
197;27;oooo;x;oooo;www;1270.0;mmm;150.0;1500000.0;qqqq
198;81;oooo;;oooo;www;0.0;ee;96.0;960000.0;hhhh
199;68;oooo;x;oooo;www;11202.0;mmm;0.0;0.0;qqqq
200;67;oooo;x;oooo;www;300.0;sss;200.0;2000000.0;qqqq
201;98;oooo;;oooo;www;0.0;vvvv;0.0;0.0;qqqq
202;178;oooo;x;oooo;www;1583.0;ee;0.0;0.0;qqqq
203;60;oooo;x;oooo;www;0.0;ggg;0.0;0.0;bbb
204;179;rrr;y;oooo;pppp;0.0;yyy;154.0;1540000.0;hhhh
205;75;oooo;x;oooo;www;5000.0;kkk;0.0;0.0;yy
206;155;rrr;x;oooo;pppp;1.0;yyy;160.0;1600000.0;qqqq
207;173;oooo;y;oooo;www;0.0;ee;0.0;0.0;hhhh
208;155;rrr;;oooo;pppp;0.0;ee;180.0;1800000.0;qqqq
209;7;rrr;y;oooo;pppp;0.0;ggg;100.0;1000000.0;yy
210;162;oooo;x;oooo;www;2803.0;yyy;340.0;3400000.0;qqqq
211;23;oooo;;oooo;www;10.0;kkk;160.0;1600000.0;qqqq
212;146;oooo;y;uuu;www;0.0;ooo;0.0;0.0;qqqq
213;73;oooo;;oooo;www;1.0;ooo;100.0;1000000.0;qqqq
214;114;rrr;;oooo;pppp;17.0;mmm;0.0;0.0;hhhh
215;37;rrr;x;oooo;pppp;1.0;sss;369.0;3690000.0;hhhh
216;35;oooo;;oooo;www;6.0;yyy;0.0;0.0;qqqq
217;42;oooo;;oooo;www;154.0;vvvv;40.0;400000.0;qqqq
218;12;oooo;;oooo;www;0.0;hh;76.0;760000.0;hh
219;158;rrr;y;oooo;pppp;0.0;ee;120.0;1200000.0;qqqq
220;145;oooo;;uuu;www;0.0;yyy;280.0;2800000.0;qqqq
221;17;rrr;;oooo;pppp;0.0;lll;160.0;1600000.0;lll
222;63;oooo;y;oooo;www;0.0;yyy;120.0;1200000.0;qqqq
223;171;oooo;y;uuu;www;0.0;ooo;320.0;3200000.0;qqqq
224;171;oooo;;oooo;www;394.0;vvvv;200.0;2000000.0;qqqq
225;23;rrr;y;oooo;pppp;141.0;ee;200.0;2000000.0;qqqq
226;165;rrr;;oooo;pppp;1.0;ee;180.0;1800000.0;qqqq
227;157;oooo;;oooo;www;55.0;mmm;280.0;2800000.0;qqqq
228;161;oooo;y;oooo;www;1004.0;ee;260.0;2600000.0;qqqq
229;145;oooo;y;uuu;www;27.0;hh;62.0;620000.0;hh
230;26;rrr;y;oooo;pppp;0.0;vvvv;120.0;1200000.0;qqqq
231;176;oooo;x;oooo;www;3.0;mmm;174.0;1740000.0;qqqq
232;31;oooo;x;oooo;www;21.0;ee;80.0;800000.0;qqqq
233;49;oooo;;oooo;www;0.0;ee;240.0;2400000.0;qqqq
234;24;oooo;;oooo;www;3.0;hh;200.0;2000000.0;hh
235;12;oooo;y;oooo;www;0.0;yyy;160.0;1600000.0;qqqq
236;166;oooo;;oooo;www;5.0;yyy;220.0;2200000.0;qqqq
237;1;oooo;y;uuu;www;0.0;vvvv;0.0;0.0;qqqq
238;47;oooo;y;oooo;www;0.0;vvvv;160.0;1600000.0;qqqq
239;174;oooo;;oooo;www;5.0;ggg;120.0;1200000.0;qqqq
240;163;rrr;;oooo;pppp;0.0;hh;0.0;0.0;hh
241;155;oooo;;oooo;www;67.0;yyy;300.0;3000000.0;qqqq
242;155;oooo;;oooo;www;22.0;vvvv;0.0;0.0;qqqq
243;27;oooo;x;oooo;www;0.0;ee;720.0;7200000.0;qqqq
244;66;oooo;;oooo;www;1000.0;ee;220.0;2200000.0;qqqq
245;176;oooo;x;oooo;www;0.0;ooo;396.0;3960000.0;qqqq
246;13;oooo;;oooo;www;50000.0;ee;520.0;5200000.0;qqqq
247;48;oooo;;oooo;www;300.0;ee;311.0;3110000.0;hhhh
248;157;oooo;;oooo;www;500.0;mmm;380.0;3800000.0;qqqq
249;1;oooo;y;oooo;www;0.0;ee;0.0;0.0;qqqq
250;154;ii;y;uuu;nnn;0.0;ee;300.0;3000000.0;hh
251;155;oooo;;oooo;www;500.0;sss;0.0;0.0;hhhh
252;155;oooo;y;oooo;www;0.0;ee;100.0;1000000.0;qqqq
253;152;oooo;;oooo;www;0.0;mmm;181.0;1810000.0;hhhh
254;18;oooo;;oooo;www;150.0;vvvv;100.0;1000000.0;qqqq
255;84;oooo;x;oooo;www;168.0;sss;381.0;3810000.0;hhhh
256;160;rrr;x;oooo;pppp;59.0;zzz;840.0;8400000.0;qqqq
257;155;oooo;;oooo;www;0.0;sss;80.0;800000.0;hhhh
258;173;oooo;;oooo;www;1391.0;vvvv;200.0;2000000.0;qqqq
259;148;oooo;;oooo;www;0.0;kkk;400.0;4000000.0;hhhh
260;172;rrr;;oooo;pppp;400.0;sss;80.0;800000.0;qqqq
261;33;oooo;;oooo;www;0.0;zzz;360.0;3600000.0;hhhh
262;31;oooo;;oooo;www;600.0;vvvv;;;qqqq
263;116;oooo;;oooo;www;444.0;vvvv;73.0;730000.0;yy
264;5;rrr;;oooo;pppp;0.0;yyy;431.0;4310000.0;qqqq
265;144;rrr;y;oooo;pppp;113.0;vvvv;232.0;2320000.0;qqqq
266;55;rrr;x;oooo;pppp;7.0;vvvv;144.0;1440000.0;yy
267;12;oooo;x;oooo;www;0.0;ee;0.0;0.0;hhhh
268;101;oooo;;oooo;www;3000.0;zzz;0.0;0.0;hhhh
269;24;oooo;x;oooo;www;2384.0;sss;140.0;1400000.0;hhhh
270;158;rrr;;oooo;pppp;1000.0;yyy;120.0;1200000.0;qqqq
271;19;rrr;;oooo;pppp;1236.0;sss;455.0;4550000.0;hhhh
272;106;oooo;;oooo;www;284.0;yyy;290.0;2900000.0;hhhh
273;61;oooo;;uuu;www;0.0;yyy;120.0;1200000.0;qqqq
274;115;oooo;;oooo;www;0.0;ee;156.0;1560000.0;qqqq
275;171;oooo;x;oooo;www;150.0;vvvv;312.0;3120000.0;hhhh
276;166;oooo;y;oooo;www;0.0;yyy;300.0;3000000.0;qqqq
277;147;oooo;;oooo;www;0.0;ee;200.0;2000000.0;qqqq
278;27;rrr;;uuu;pppp;0.0;kkk;200.0;2000000.0;hhhh
279;150;oooo;y;oooo;www;0.0;sss;200.0;2000000.0;qqqq
280;164;oooo;y;uuu;www;0.0;ooo;400.0;4000000.0;qqqq
281;12;oooo;;uuu;www;0.0;ooo;368.0;3680000.0;qqqq
282;23;oooo;;oooo;www;4000.0;kkk;640.0;6400000.0;yy
283;15;oooo;;oooo;www;1.0;hh;340.0;3400000.0;hh
284;174;oooo;;uuu;www;0.0;ooo;200.0;2000000.0;qqqq
285;21;oooo;;rrr;www;0.0;vvvv;120.0;1200000.0;qqqq
286;101;rrr;;oooo;pppp;0.0;sss;268.0;2680000.0;qqqq
287;29;oooo;;oooo;www;501.0;ee;0.0;0.0;qqqq
288;118;oooo;;oooo;www;0.0;yyy;228.0;2280000.0;hhhh
289;39;oooo;y;oooo;www;0.0;vvvv;0.0;0.0;hhhh
290;173;oooo;y;oooo;www;0.0;vvvv;160.0;1600000.0;qqqq
291;27;oooo;y;oooo;www;0.0;ee;348.0;3480000.0;yy
292;59;oooo;x;oooo;www;0.0;sss;160.0;1600000.0;qqqq
293;105;oooo;;oooo;www;1212.0;mmm;100.0;1000000.0;qqqq
294;87;oooo;;oooo;www;1000.0;kkk;200.0;2000000.0;qqqq
295;23;rrr;;oooo;pppp;0.0;zzz;176.0;1760000.0;hhhh
296;161;oooo;y;oooo;www;0.0;vvvv;180.0;1800000.0;hhhh
297;15;oooo;;oooo;www;0.0;sss;440.0;4400000.0;qqqq
298;76;oooo;x;oooo;www;160.0;sss;0.0;0.0;qqqq
299;91;oooo;y;oooo;www;42.0;yyy;80.0;800000.0;qqqq
300;151;oooo;x;oooo;www;18.0;hh;200.0;2000000.0;hh
301;147;oooo;y;oooo;www;0.0;sss;263.0;2630000.0;qqqq
302;19;rrr;y;oooo;pppp;1.0;zzz;128.0;1280000.0;hhhh
303;40;oooo;;oooo;www;0.0;vvvv;216.0;2160000.0;qqqq
304;46;oooo;y;oooo;www;50.0;sss;454.0;4540000.0;qqqq
305;8;rrr;y;oooo;pppp;0.0;hh;280.0;2800000.0;hh
306;144;rrr;;oooo;pppp;70.0;mmm;200.0;2000000.0;qqqq
307;171;oooo;;oooo;www;251.0;sss;220.0;2200000.0;hhhh
308;174;oooo;;oooo;www;1.0;hh;130.0;1300000.0;hh
309;116;rrr;y;oooo;pppp;0.0;vvvv;112.0;1120000.0;hhhh
310;17;rrr;;oooo;pppp;0.0;mmm;280.0;2800000.0;qqqq
311;96;oooo;y;oooo;www;0.0;hh;80.0;800000.0;hh
312;163;oooo;;oooo;www;1.0;hh;17.0;170000.0;hh
313;114;oooo;y;oooo;www;0.0;yyy;260.0;2600000.0;qqqq
314;93;oooo;x;oooo;www;196.0;zzz;520.0;5200000.0;qqqq
315;12;rrr;;oooo;pppp;1065.0;yyy;260.0;2600000.0;qqqq
316;43;oooo;x;oooo;www;0.0;ee;320.0;3200000.0;hhhh
317;123;oooo;;oooo;www;1400.0;hh;0.0;0.0;hh
318;1;;;rrr;;0.0;;;;
319;12;oooo;;oooo;www;582.0;sss;0.0;0.0;qqqq
320;101;oooo;;oooo;www;0.0;zzz;121.0;1210000.0;qqqq
321;147;oooo;;oooo;www;0.0;sss;280.0;2800000.0;qqqq
322;175;oooo;x;oooo;www;3290.0;zzz;303.0;3030000.0;qqqq
323;120;oooo;;oooo;www;0.0;mmm;0.0;0.0;hhhh
324;177;oooo;x;oooo;www;51100.0;ggg;375.0;3750000.0;yy
325;91;oooo;;oooo;www;1249.0;kkk;0.0;0.0;yy
326;179;oooo;;oooo;www;591.0;ee;88.0;880000.0;qqqq
327;40;oooo;y;uuu;www;0.0;yyy;280.0;2800000.0;qqqq
328;112;oooo;;oooo;www;0.0;ooo;200.0;2000000.0;qqqq
329;138;oooo;;oooo;www;6700.0;kkk;0.0;0.0;yy
330;110;oooo;y;uuu;www;0.0;ooo;110.0;1100000.0;qqqq
331;147;oooo;;oooo;www;4071.0;zzz;340.0;3400000.0;qqqq
332;62;oooo;x;oooo;www;3257.0;sss;129.0;1290000.0;qqqq
333;87;oooo;;oooo;www;0.0;ee;100.0;1000000.0;qqqq
334;148;rrr;;oooo;pppp;2732.0;mmm;380.0;3800000.0;qqqq
335;5;oooo;y;oooo;www;5298.0;zzz;0.0;0.0;hhhh
336;137;oooo;x;oooo;www;1000.0;zzz;0.0;0.0;hhhh
337;83;oooo;;oooo;www;28.0;vvvv;40.0;400000.0;qqqq
338;114;oooo;;oooo;www;258.0;ee;140.0;1400000.0;qqqq
339;98;oooo;;oooo;www;0.0;sss;100.0;1000000.0;hhhh
340;136;oooo;x;oooo;www;5000.0;vvvv;0.0;0.0;qqqq
341;143;rrr;x;oooo;pppp;15.0;vvvv;0.0;0.0;qqqq
342;114;oooo;;oooo;www;567.0;ee;120.0;1200000.0;qqqq
343;164;oooo;;oooo;www;678.0;sss;0.0;0.0;hhhh
344;163;oooo;y;oooo;www;0.0;yyy;70.0;700000.0;qqqq
345;145;oooo;;oooo;www;0.0;sss;380.0;3800000.0;qqqq
346;68;oooo;y;oooo;www;0.0;ee;443.0;4430000.0;qqqq
347;12;oooo;y;oooo;www;350.0;yyy;0.0;0.0;qqqq
348;17;rrr;y;oooo;pppp;400.0;vvvv;164.0;1640000.0;yy
349;171;rrr;y;oooo;pppp;2.0;xxx;132.0;1320000.0;ppp
350;164;rrr;y;oooo;pppp;0.0;ggg;260.0;2600000.0;yy
351;159;rrr;;oooo;pppp;0.0;ooo;0.0;0.0;qqqq
352;8;oooo;x;oooo;www;112.0;ooo;352.0;3520000.0;qqqq
353;123;rrr;x;oooo;pppp;1.0;hh;160.0;1600000.0;hh
354;164;rrr;;oooo;pppp;0.0;ooo;130.0;1300000.0;qqqq
355;119;rrr;;oooo;pppp;1.0;hh;200.0;2000000.0;hh
356;174;oooo;;oooo;www;5.0;kkk;220.0;2200000.0;hhhh
357;169;oooo;;oooo;www;500.0;vvvv;225.0;2250000.0;qqqq
358;175;oooo;;oooo;www;11.0;sss;200.0;2000000.0;qqqq
359;173;oooo;y;oooo;www;0.0;vvvv;0.0;0.0;qqqq
360;8;oooo;;oooo;www;0.0;vvvv;0.0;0.0;qqqq
361;176;oooo;x;oooo;www;1950.0;ooo;254.0;2540000.0;qqqq
362;165;oooo;;oooo;www;2010.0;mmm;380.0;3800000.0;qqqq
363;152;oooo;x;oooo;www;1300.0;ggg;320.0;3200000.0;yy
364;1;oooo;x;uuu;www;0.0;mmm;0.0;0.0;qqqq
365;1;rrr;;oooo;pppp;1.0;hh;45.0;450000.0;hh
366;27;oooo;;oooo;www;16.0;vvvv;460.0;4600000.0;qqqq
